570,Igeret bikoret : ... kol dine saris u-fatsu`a ve-nikhratאגרת בקרת : ... כל דיני סריס ופצוע ונכרת ...
1308,Masekhet Yevamot
1514,חקרי לב
533,Akedat Yitshak : ve-aharon aharon ... perush ha-Aramahg le-hamesh megilot.
1110,צוהר התיבה החדש
537,Keli faz
1040,Sefer ben Gurion
504,Masekhet Avodah Zarah
1348,Mishle
437,"Magine Shelomoh : hidushe halakhot al Gemara i. p. T. al Masekhet Shabat, Pesahim, Betsah, Yevamot, Ketubot, Kidushin, Bava kama, [ve]-Hulin asher hiber Yehoshua she-hay. a.b.d. bi-k. k. Krako."
710,Sefer ha-Bahir / sodot niflaʼot shel R. Neḥunya ben ha-Kanah.
798,הארוך מש״ך : על טור יורה דעה
507,Masekhet Bava Batra
433,Havat yair hadash.
799,כנפי יונה
1224,Lexicon hebraicum et chaldaicum
525,Masekhet Mo'ed Katan
1138,הגהות ירושלמי
1137,"שאלות ותשובות גבעת שאול / יסדו וגם חברו ... הרב ... מהור""ר שאול בר' משה ... שהיה אבד""ק לאמז"
519,Masekhet Eruvin
2095,Sefer Tehilim
1282,ספרא זקוקין דנורא ובעורין דאשא ... פירוש נאה ומיוחד על... סדר אליהו רבא וסדר אליהו ...
524,Masekhet Ta'anit
508,Masekhet Sanhedrin and Masekhet Makkot
505,Masekhet Bava Kama
2983,Masekhet Berakhot
1166,מלך שלם
1251,Masekhet Yevamot
2811,מדרש רבות חלק שני
2098,Talmud 'im Perush Rashi
811,Kol Bo
2747,Sefer ha-Kuzari
2779,ספר פני יהושע
3566,"Sheyare Keneset ha-gedolah, helek Orah hayim"
509,'Or ha-Yashar
541,Tikun Soferim
448,"Sefer Bedek ha-bayit yasdo, hekhino ve-gam hikro Yosef ben Efrayim Karo ; hugah al yad Yitshak Gershon."
451,"Sefer Dat esh : sheelot u-teshuvot u-veur al ha-Rambam, Hil. Kilayim hibro Uri Sheraga Faibish."
442,Miktav revii ...
3336,תלמוד בבלי מסכת ברכות
443,"Nahalat Yaakov ve-hemah sheelot u-teshuvot asher hiber, izen ve-hiker Yaakov Hailpron."
