168,Hyman G. Enelow
213,JTS Library
210,Moses ibn Yaqar Brandon
170,David ben Yitshak ben David mi-Yanov
236,Jacob H. Coppenhagen
171,יואל סגל
172,Yoel Segal
223,Bennett Gilbert
173,Solomon Schechter
174,"Josephus, Flavius"
4696,Spertus Institute for Jewish Learning and Leadership
175,"Newton, Isaac"
176,"Musgrave, James"
217,Chabad-Lubavitch Library
177,"Musgrave, James (the Younger)"
4317,Sha'ul Dov Meyer-Hoffer
165,Moses ben Israel Isserles
180,"Hof-und Landesbibliothek, Karlsruhe"
219,UNC Library
181,Johannes Reuchlin
182,Ploni
220,UCLA Library
183,John Huggins
184,William H. Schab Gallery
201,Joseph Solomon Delmedigo
185,Judah ben Samuel
186,Judah ben Samuel
222,William H. Schab Gallery
187,"Mat, Moses"
188,John Huggins
1747,King James I of England
2635,Obadiah of Rome
190,Shimon Levi
224,Det Kongelige Bibliotek: Nationalbibliotek og Københavns Universitetsbibliotek
191,"Aaron Teomim b. Moses, of Worms"
192,Shimon Levi
3187,Haim b. Yosef Segal of Bruda
2967,Isaiah Sonne
194,Shmuel ibn Askara ha-Tsarfati
3698,"Louis L. Kaplan, 1902-2001."
1525,"הורוויץ, אברהם בן שבתי הלוי"
2021,Mordekhai Leon
4029,Liese ben Shemu'el Zanvyl Delum - Delheimer (Buchen)
228,Abraham b. Judah Berlin
3188,Getzel Issersohn
200,John Selden
229,"Fez, Jacob b. Naftali Hirsch"
2022,Emma Gottheil
193,Jedaiah ben Abraham Bedersi
230,  מנחם מן בן שלמה הלוי
204,Simon Levi Segal
231,Leopold Muller Hebrew and Jewish Studies Library
205,Shimon Levi Segal
179,Wolf Heidenheim
1533,Yoel ben Moshe Gad
2331,"J.L. Rosen, Jassy"
235,University of Leeds
232,Moses Frankfurter
237,"Zunz, Leopold"
238,UCL Library
239,Judith Montefiore College
240,"Bobst Library, NYU"
241,Der Rat der Israelitische Religions Gemeinschaft Wuerttembergs
242,Mitchell M. Kaplan Collection of Rare Judaica and Hebraica
314,Leib Zunz
243,"Jewish Cultural Foundation library, no. B1800"
244,דוד יוסף שווייגער
2332,Abba Mari ben Moses ben Joseph
245,Bezalel Ashkenazi
163,Naphtali Hirsch ben Asher Altschul
313,Ẓevi Hirsch ben Jacob Ashkenazi
1552,Aharon ben Hayyim Abraham Ha-Kohen Perahyah
1554,משה בן מימון
1556, עזריאל בן אליהו
287,Harry G. Friedman
247,בנימין
248,ידידיה בן יצחק גבאי
249,ר’ רפאל חיים סופינו
250,"ר’ אברהם ב""ר שלמה חיים חבר טוב"
251,ר’ אברהם גדילייא
253,מנחם מענדל הלוי וואללמאן מוויערושאוו
254,מנחם מענדל הלוי וואללמאן מוויערושאוו
255,אורי בן אהרן הלוי
256,שלמה בן מלח
4693,Eli'ezer ben Haninah of Tarnogród
258,Spertus Institute for Jewish Learning and Leadership
259,שמואל זנוויל
270,"Samuel Eliezer ben Judah ha-Levi Edels, 1555-1631"
261,ר' ליכטענשטיין
262,College of Jewish Studies
263,דוד כץ
264,דוד כץ
265,Moses ben Bezalel Katz
266,Moses ben Joseph Bezalel Katz
3189,Sali Parnes
268,אברהם ?
275,Moses ben Mordecai Galante
267,Mordecai ben Abraham Jaffe
271,טעבלין
272,בנימין בן ראובן
273,טעבלין
274,יצחק גרשון
2333,"Abba Mari ben Moses ben Joseph Astruc, of Lunel, active 13th century-14th century	"
276,יצחק בן שמואל אשכנזי
1374,שבתי בן מאיר כ״ץ
260,Asher ben Yehiel
280,אברהם רפאל מילדולה
4694,Shmu'el Texiera
282,ר' אלי
283,"Weil, Nethanel ben Naphtali Ẓevi, 1687-1769"
284,Lemle Moses Klaus Stiftung
285,Städtische Schlossbücherei (Municipal Palace Library)
286,Yohanos Ludṿiḳ Yaḳob Held
2334,Shelomoh ibn Aderet of Barcelona
257,"Jewish Cultural Reconstruction, Inc."
289,"Shabbetai ben Meir, ha-Kohen"
290,Menahem Nahum ben Moshe Mayzlesh
291,Meir (unknown)
292,Tiah (Jedidiah) Weil
293,Zanito Zanitti
294,בן ציון צרפתי
295,ר' ברוך (??)
2335,Todros b. Klonymus
297,Frater Renatus
298,Menahem Nahum ben Moshe Mayzlish (מייזלש)
299,Avraham ben Menahem Mendlin
300,יעקב צבי בן דוב יואל
301,David Kohen Pavia de Casale
4697,Yehudah b. Tsevi Baruch Pereira
304,Yosef Yissakhar b. Moshe
306,Michel Sacerdotto
307,Naftali Hirsh Frank (?) 
308,Shlomo Zalman Hayyim Halberstamm
309,Shlomo Zalman Hayyim Halberstamm
310,Jacob Mann
317,Bet Midrash (?) Rishon de-Ashkenazim in Jerusalem
318,Israel Meir Freimann
320,Rabbi B. Lifshitz
